"","image2","unique_pair","image1","image_path","target_id","distractor_id","text1","text2","full_phrase_language","full_phrase","trial_type_id","dataset_id","vanilla_trial"
"116","car.jpg","489_492","ball.jpg","baumgartner_2014",492,489,"ball","car","eng","ball! Can you find the ball?",1084,11,1
"117","baby.jpg","484_488","shoe.jpg","baumgartner_2014",484,488,"shoe","baby","eng","shoe! Where's the shoe?",1085,11,1
"118","shoe.jpg","484_487","dog.jpg","baumgartner_2014",487,484,"dog","shoe","eng","dog! Can you find the dog?",1087,11,1
"119","ball.jpg","490_492","cat.jpg","baumgartner_2014",490,492,"kitty","ball","eng","kitty! Can you find the kitty?",1103,11,1
"120","shoe.jpg","484_492","ball.jpg","baumgartner_2014",492,484,"ball","shoe","eng","ball! Where's the ball?",1108,11,1
"121","dog.jpg","487_490","cat.jpg","baumgartner_2014",490,487,"kitty","dog","eng","kitty! Where's the kitty?",1116,11,1
"122","car.jpg","488_489","baby.jpg","baumgartner_2014",488,489,"baby","car","eng","baby! Can you find the baby?",1124,11,1
"123","cake_right.jpg","502_519","novel2.jpg","pomper_salientme",502,519,"orange-yellow unfamiliar object","cake","eng","Where is the sprock",1363,13,0
"124","fish_left.jpg","503_525","novel1.jpg","pomper_salientme",503,525,"purple unfamiliar object","fish","eng","Find the pifo",1364,13,0
"125","novel4.jpg","504_507","chair_left.jpg","pomper_salientme",504,507,"chair","blue unfamiliar object","eng","Look at the chair",1365,13,0
"126","novel3.jpg","505_509","bed_right.jpg","pomper_salientme",505,509,"bed","green unfamiliar object","eng","Find the bed",1366,13,0
"127","novel2.jpg","502_506","bus_right.jpg","pomper_salientme",506,502,"bus","orange-yellow unfamiliar object","eng","Where is the bus",1367,13,0
"128","door.jpg","507_518","novel4.jpg","pomper_salientme",507,518,"blue unfamiliar object","door","eng","Look at the jang",1368,13,0
"129","bird_right.jpg","503_526","novel1.jpg","pomper_salientme",503,526,"purple unfamiliar object","bird","eng","Where is the pifo",1369,13,0
"130","novel2.jpg","502_508","cat_right.jpg","pomper_salientme",508,502,"cat","orange-yellow unfamiliar object","eng","Look at the cat",1370,13,0
"131","brush.jpg","509_516","novel3.jpg","pomper_salientme",509,516,"green unfamiliar object","brush","eng","Find the tever",1371,13,0
"132","box.jpg","507_514","novel4.jpg","pomper_salientme",507,514,"blue unfamiliar object","box","eng","Where is the jang",1372,13,0
"133","novel3.jpg","509_510","sock_left.jpg","pomper_salientme",510,509,"sock","green unfamiliar object","eng","Find the sock",1373,13,0
"134","novel4.jpg","507_511","chair_right.jpg","pomper_salientme",511,507,"chair","blue unfamiliar object","eng","Look at the chair",1374,13,0
"135","novel1.jpg","503_512","fish_right.jpg","pomper_salientme",512,503,"fish","purple unfamiliar object","eng","Where is the fish",1375,13,0
"136","novel1.jpg","503_513","juice.jpg","pomper_salientme",513,503,"juice","purple unfamiliar object","eng","Look at the juice",1376,13,0
"137","sock_right.jpg","509_527","novel3.jpg","pomper_salientme",509,527,"green unfamiliar object","sock","eng","Where is the tever",1378,13,0
"138","cake_left.jpg","502_528","novel2.jpg","pomper_salientme",502,528,"orange-yellow unfamiliar object","cake","eng","Look at the sprock",1379,13,0
"139","bed_left.jpg","509_520","novel3.jpg","pomper_salientme",509,520,"green unfamiliar object","bed","eng","Find the tever",1380,13,0
"140","novel2.jpg","502_515","bus_left.jpg","pomper_salientme",515,502,"bus","orange-yellow unfamiliar object","eng","Look at the bus",1381,13,0
"141","cat_left.jpg","502_529","novel2.jpg","pomper_salientme",502,529,"orange-yellow unfamiliar object","cat","eng","Where is the sprock",1384,13,0
"142","novel1.jpg","503_517","bird_left.jpg","pomper_salientme",517,503,"bird","purple unfamiliar object","eng","Find the bird",1385,13,0
"143","novel1.jpg","502_503","novel2.jpg","pomper_salientme",502,503,"orange-yellow unfamiliar object","purple unfamiliar object","eng","Look at the sprock",1387,13,0
"144","novel4.jpg","507_509","novel3.jpg","pomper_salientme",509,507,"green unfamiliar object","blue unfamiliar object","eng","Where is the tever",1388,13,0
"145","juice.jpg","513_517","bird_left.jpg","pomper_salientme",517,513,"bird","juice","eng","Find the bird",1389,13,1
"146","brush.jpg","516_518","door.jpg","pomper_salientme",518,516,"door","brush","eng","Where is the door",1391,13,1
"147","bus_left.jpg","515_519","cake_right.jpg","pomper_salientme",519,515,"cake","bus","eng","Where is the cake",1393,13,1
"148","chair_right.jpg","511_520","bed_left.jpg","pomper_salientme",520,511,"bed","chair","eng","Find the bed",1395,13,1
"149","cat_left.jpg","512_529","fish_right.jpg","pomper_salientme",512,529,"fish","cat","eng","Find the fish",1397,13,1
"150","box.jpg","510_514","sock_left.jpg","pomper_salientme",510,514,"sock","box","eng","Find the sock",1400,13,1
"151","sock_right.jpg","521_527","novel3.jpg","pomper_salientme",521,527,"green unfamiliar object","sock","eng","Where is the pifo",1415,13,0
"152","door.jpg","518_522","novel4.jpg","pomper_salientme",522,518,"blue unfamiliar object","door","eng","Look at the sprock",1416,13,0
"153","novel1.jpg","513_523","juice.jpg","pomper_salientme",513,523,"juice","purple unfamiliar object","eng","Look at the juice",1417,13,0
"154","novel2.jpg","506_524","bus_right.jpg","pomper_salientme",506,524,"bus","orange-yellow unfamiliar object","eng","Look at the bus",1418,13,0
"155","novel3.jpg","505_521","bed_right.jpg","pomper_salientme",505,521,"bed","green unfamiliar object","eng","Where is the bed",1419,13,0
"156","fish_left.jpg","523_525","novel1.jpg","pomper_salientme",523,525,"purple unfamiliar object","fish","eng","Find the tever",1420,13,0
"157","novel3.jpg","516_521","brush.jpg","pomper_salientme",516,521,"brush","green unfamiliar object","eng","Find the brush",1422,13,0
"158","cake_left.jpg","524_528","novel2.jpg","pomper_salientme",524,528,"orange-yellow unfamiliar object","cake","eng","Where is the jang",1423,13,0
